'Acer CB3-532-C47C 15.6" Chromebook, Chrome OS, Intel Celeron N3060 Dual-Core Processor, 2GB RAM, 16GB Internal Storage',199.0,'Acer','15.6 in','2 GB','16 GB','Intel Celeron','1.6 GHz','Chrome OS','12 h'
'Acer Aspire 5 A515-51-563W, 15.6" Full HD (1920 x 1080), 7th Gen Intel Core i5-7200U, 8GB DDR4, 1TB HDD, Windows 10 Home',449.0,'Acer','15.6 in','8 GB','1 TB','Intel Core i5','3.1 Hz','Microsoft Windows, Windows 10','7 h'
'Acer Swift 1 SF113-31-P5CK 13.3" Ultra-Thin Laptop , Intel Pentium N4200 Processor, 4GB RAM, 64GB Storage Drive & 13.3” Full HD Widescreen Display',319.0,'Acer','13.3 in','4 GB','64 GB','Inte Pentium N4200 quad core processor','2.5 Hz','Windows 10','10 h'
'Acer Black 11.6" C730 Chromebook PC with Intel Celeron N2840 Processor, 4GB Memory, 16GB eMMC Drive and Chrome',470.47,'Acer','11.6 in','4 GB','16 GB','Intel 7260 AC (2x2 AC, 867 Mbps)','2.16 GHz, with a Max Turbo Speed of 2.58 GHz','Chrome','13 Hours'
'Acer Chromebook 15 CB3-532-C4ZZ Celeron N3060 1.6 GHz 4GB, 32GB Storage 15.6" Chrome OS Notebook',229.0,'Acer','15.60 in','4 GB','32 GB','Intel Celeron','1.6 Hz','Chrome OS',nan
'Acer Nitro 5 Gaming laptop, 15.6" FHD Screen, Intel Core i7-7700HQ, GeForce GTX 1050Ti Graphic card, 16GB DDR4 Memory, 256GB SSD+ 1TB HDD, Windows 10 Home, AN515-51-70V4',999.0,'Acer','15.60 Inches','16 KB','1 KB','Intel i7-7700HQ','2.8 Hz','Windows 10','7 Hours'
'Acer Aspire 5 A515-51-3509, 15.6" Full HD (1920 x 1080), 7th Gen Intel Core i3-7100U, 8GB DDR4, 1TB HDD, Windows 10 Home',374.0,'Acer','15.6 in','8 KB','1 KB','Intel Core i3','2.4 Hz','Windows 10','7 h'
'Acer Aspire 5 A515-51-75UY, 15.6" Full HD (1920 x 1080), 7th Gen Intel Core i7-7500U, 8GB DDR4, 1TB HDD, Windows 10 Home',599.0,'Acer','15.6 in','8 GB','1 TB','Intel Core i7','3.5 Hz','Windows 10','7 h'
'Acer Nitro 5, 7th Gen Intel Core i5-7300HQ, GeForce GTX 1050 Graphics, 8GB DDR4, 1TB HDD, Windows 10 Home, AN515-51-522L',699.0,'Acer','15.6 in','8 KB','1 KB','Intel Core i5','2.5 Hz','Microsoft Windows, Windows 10','7 h'
'Acer Aspire R5-471T-50UD Touch Notebook with Intel i5-6200U, 8GB 256GB SSD 14" Multi Touch Screen Windows 10 Home',549.0,'Acer','14 in','8 GB','256 GB','Intel Core i5','2.3 Hz','Windows 10',nan
'Refurbished Acer C720 Google Chromebook Notebook Laptop 11.6-Inch LED 4GB RAM 16GB SSD',99.95,'Acer',nan,nan,nan,nan,nan,nan,nan
'Acer Swift 3 SF314-51-76R9 14.1" Laptop, Windows 10 Home, Intel Core i7-6500U Processor, 8GB RAM, 256GB Solid State Drive',699.0,'Acer','14 in','8 KB','256 GB','Intel Core i7','2.5 GHz','Windows 10','10 h'
'Acer R11 CB5-132T-C1LK 11.6" Chromebook, Touchscreen, 2-in-1, Chrome, Intel Celeron N3150 Quad-Core Processor, 4GB RAM, 32GB Flash Storage',299.0,'Acer','11.6"','4 GB','32 GB','Intel Celeron','1.60 GHz, with a Max Turbo Speed of 2.08 GHz','Chrome','10 hours'
'Acer Chromebook 14 CB3-431-C6ZB - 14" - Celeron N3160 - 4 GB RAM - 32 GB SSD - US',279.0,'Acer','14 in','4 KB','32 KB','Intel Celeron','1.6 Hz','Chrome',nan
'Acer Sparkly Silver 14" CB3-431-C5FM Chromebook PC with Intel Celeron N3160 Processor, 4GB Memory, 32GB Flash Drive and Chrome OS',297.03,'Acer','14 in','4 GB','32  GB','Intel Celeron','1.60 GHz, with a Max Turbo Speed of 2.24 GHz','Chrome','12 hours'
'Acer Swift 3 SF314-51-398B 14" Laptop, Windows 10 Home, Intel Core i3-7100U Processor, 4GB RAM, 128GB Solid State Drive Gold',499.0,'Acer','14"','4 GB','128','Intel Core i3','2.40 GHz','Microsoft Windows, Windows 10','10 Hour'
'Acer Aspire E15 E5-522-89W6 15.6" Laptop Bundle, Windows 10 Home, AMD A8-7410 Processor, 4GB RAM, 500GB Hard Drive',431.22,'Acer','15.6 Inches','4 GB','500  GB','AMD A8-7410 Quad-Core Processor','2.20 GHz, with a Max Turbo Speed of 2.50 GHz','Windows 10','5 hours'
'Manufacturer Refurbished Acer CB3-532-C47C 15.6" Chromebook, Chrome OS, Intel Celeron N3060 Processor, 2GB RAM, 16GB Flash Drive',146.99,'Acer','15.6"','2 KB','16 KB','Intel Celeron','1.6 Hz','Chrome','12 hours'
'Acer Nitro 5, 7th Gen Intel Core i5-7300HQ, GeForce GTX 1050 Ti Graphics, 16GB DDR4, 256GB SSD, Windows 10 Home, AN515-51-504A',749.0,'Acer','15.6 in','16 KB','256 KB','Intel i5-7300HQ','2.5 Hz','Windows 10','7 Hours'
'Acer Swift 3 SF314-52 SF314-52-517Z 14" Core i5-8250U 8GB DDR4 256GB SSD - Windows 10 Home 1920 x 1080 IPS sparkly Silver Ultrabook',649.0,'Acer','14.00 in','8.00 GB','256.00 GB','Intel Core i5','1.60 GHz','Windows 10','10.00 h'
'Acer Nitro 5 Gaming laptop, 15.6" FHD Screen, Intel Core i7-7700HQ, GeForce GTX 1050 Graphic card, 16GB DDR4 Memory, 256GB SSD, Windows 10 Home, AN515-51-78C6',849.99,'Acer','15.6 in','16 KB','256 KB','Intel Core i7','2.8 Hz','Microsoft Windows, Windows 10','8.50 Hour'
'Acer Swift 3 SF314-51-76EY i7-7500U Processor 2.7GHz 14" 8GB DDR4 256GB SSD',699.0,'Acer','14"','8 GB','256','Intel Core i7','2.70 GHz','Microsoft Windows, Windows 10','10 Hour'
