_id,ltable_ID,rtable_ID,ltable_Name,ltable_Price,ltable_Brand,ltable_Screen Size,ltable_RAM,ltable_Hard Drive Capacity,ltable_Processor Type,ltable_Processor Speed,ltable_Operating System,ltable_Clean Name,rtable_Name,rtable_Price,rtable_Brand,rtable_Screen Size,rtable_RAM,rtable_Hard Drive Capacity,rtable_Processor Type,rtable_Processor Speed,rtable_Operating System,rtable_Clean Name,gold
283662,167,2011,"HP Stream Notebook 14-AX067NR - 14"" Screen, Celeron N @ 1.6GHZ, 4GB RAM, 32GB eMMC, in Snow White (Certified Refurbished)",189.99,HP,14,,32,Intel Celeron N3060 2 CORE,,Windows 10,Stream Notebook AX067NR Celeron N Snow White Refurbished,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205.0,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,0
478739,282,2925,"HP 15.6"" Notebook 15-bs065nr, Intel Dual-Core Celeron N3060 @ 1.6GHz, 4GB RAM, 500GB HDD, Windows 10 Home, Intel HD Graphics 400 Laptop (Certified Refurbished)",279.99,HP,"15.6\""",4 GB,500 GB,Intel Celeron,,Windows 10,Notebook bs065nr Intel Dual Celeron N3060 Intel 400 Refurbished,"HP 15.6"" HD Laptop Computer (Intel Dual Core Celeron N3050 up to 2.16 GHz Processor, 4GB RAM, 500GB HDD, USB 3.0, Webcam, HDMI, DVDRW, Wifi, Windows 10) (Certified Refurbished)",259.0,HP,15.6 in,4 GB,500 GB,Intel,1.6 GHz,Windows 10,Intel Dual Celeron N3050 GHz Refurbished,1
11792,6,3004,"HP 15-bs020WM, 15.6"" Touch Laptop, Windows 10, Intel Pentium N3710 Quad Core Processor, 4GB Memory, 500GB Hard Drive, DVD",322.24,HP,15.6 in,4 GB,500 GB,Intel Pentium Processor N3710,1.6 GHz,Windows 10,bs020WM Touch Intel Pentium N3710 Quad Drive,"HP 15.6-Inch HD Touchscreen Laptop (Intel Quad Core Pentium N3710 1.6GHz, 4GB DDR3L-1600 Memory, 500 GB HDD, DVD Burner, HDMI, HD Webcam, Win 10)",314.86,HP,15.6 in,4 GB,500 GB,AMD,2.5 GHz,Windows 10,Touchscreen Intel Quad Pentium N3710 DDR3L 1600 500 GB Win,1
75535,44,1991,"HP Pavilion 15-Cc065Nr 15.6"" Laptop, Touchscreen, Windows 10 Home, Intel Core i3-7100U Dual-Core Processor, 8GB RAM, 1TB Hard Drive",549.99,HP,"15.6""",8 GB,1 TB,Intel Core i3,2.40 GHz,Windows 10,Pavilion Cc065Nr Touchscreen Intel i3 7100U Dual Drive,"HP Flagship 15.6"" HD Touchscreen Signature Laptop - Intel Core i3-7100u 2.40 GHz, 8 GB DDR4 Memory, 1 TB HDD, DVD Burner, HDMI, HD Webcam, Bluetooth, Win 10",449.99,HP,15.6 in,8 GB,1 TB,,2.7 GHz,Windows 10,Flagship Touchscreen Intel i3 7100u 40 GHz GB TB Win,0
937454,556,947,"Dell Inspiron 15 3000, 15.6-inch HD, Intel Celeron Processor N3060, 4GB 1600MHz DDR, 500GB 5400 RPM HDD",249.0,Dell,15.6 in,4 GB,500 GB,Intel Celeron,2.48 GHz,Windows 10 Home 64-bit English,Inspiron 3000 Intel Celeron N3060 1600MHz DDR RPM,"2018 Newest Premium Dell Inspiron 15.6"" HD LED-backlit Display Laptop PC Intel Celeron Dual-Core Processor 4GB RAM 500GB HDD WiFi HDMI DVD-RW Webcam Bluetooth MaxxAudio Windows 10-Black",309.0,Dell,15.6 in,4 GB,500 GB,,1.6 GHz,Windows 10,2018 Premium Inspiron Intel Celeron Dual Black,1
552101,326,931,"Refurbished HP Pavilion Laptop, 15.6 Screen, Intel Core i7, 8GB Memory, 1TB Hard Drive, Windows 10 Home, 15-cc055od",499.0,HP,,8 GB,1 TB,,,Microsoft Windows,Refurbished Pavilion Intel i7 Drive cc055od,"HP 17.3"" HD+ Notebook 17-x047cl, Intel Core i3-6006U DC Processor, 8GB Memory, 1TB Hard Drive, Backlit Keyboard, Optical Drive, HD Webcam, Windows 10 Home (Certified Refurbished)",359.99,HP,17.3 in,8 GB,,,,,17 Notebook 17 x047cl Intel i3 6006U Drive Drive Refurbished,0
307011,181,1391,"HP Stream Notebook 14-ax022nr - 14"" Screen, Celeron N @ 1.6GHz, 4GB RAM, 32GB eMMC, White (Certified Refurbished)",184.85,HP,,4 GB,,Intel Celeron,,Windows 10,Stream Notebook ax022nr Celeron N White Refurbished,"HP Stream Laptop PC 14-ax020nr (Intel Celeron N3060, 4 GB RAM, 32 GB eMMC) with Office 365 Personal for one year",,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream ax020nr Intel Celeron N3060 GB GB,0
37334,22,202,"HP Stream 14-ax020nr 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",298.99,HP,"14.0""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,Stream ax020nr Intel Celeron N3060,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,0
310363,183,1330,"HP Stream Notebook 14-ax010nr - 14"" Screen, Celeron N @ 1.6GHz, 4GB RAM, 32GB SSD in Aqua Blue (Certified Refurbished)",189.98,HP,14 in,4 GB,32 GB,Intel Celeron,1.6 GHz,Windows 10,Stream Notebook ax010nr Celeron N SSD Aqua Blue Refurbished,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205.0,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,0
13469,7,2978,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",45.0,HP,14.0 in,4 GB,32 Gigabytes,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205.0,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,1
