_id,ltable_ID,rtable_ID,ltable_Name,ltable_Price,ltable_Brand,ltable_Screen Size,ltable_RAM,ltable_Hard Drive Capacity,ltable_Processor Type,ltable_Processor Speed,ltable_Operating System,ltable_Clean Name,rtable_Name,rtable_Price,rtable_Brand,rtable_Screen Size,rtable_RAM,rtable_Hard Drive Capacity,rtable_Processor Type,rtable_Processor Speed,rtable_Operating System,rtable_Clean Name,gold
788846,467,686,"Manufacturer Refurbished - HP Stream 11-Y010NR 11.6"" Laptop Intel Celeron N3060 1.6GHz 4GB 32GB Windows 10",154.99,HP,,,,,,,Manufacturer Refurbished Stream Y010NR Intel Celeron N3060,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,1
294242,173,2798,"Manufacturer Refurbished - HP 14-AK040NR 14"" Chromebook Intel Celeron N2840 2.16GHz 4GB 16GB Chrome OS",169.99,HP,,,,,,,Manufacturer Refurbished AK040NR Chromebook Intel Celeron N2840 16GHz,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,0
498305,294,1569,"Refurbished HP 6300 SFF Desktop PC with Intel Core i5-3470 Processor, 8GB Memory, 17"" LCD Monitor, 2TB Hard Drive and Windows 10 Home",269.99,HP,"17""",8 GB,2 TB,Intel Core i5-3470 Processor,3.20 GHz,Windows 10,Refurbished 6300 SFF Desktop Intel i5 3470 17 LCD Monitor 2TB Drive,"HP 17.3"" HD+ Notebook 17-x047cl, Intel Core i3-6006U DC Processor, 8GB Memory, 1TB Hard Drive, Backlit Keyboard, Optical Drive, HD Webcam, Windows 10 Home (Certified Refurbished)",359.99,HP,17.3 in,8 GB,,,,,17 Notebook 17 x047cl Intel i3 6006U Drive Drive Refurbished,0
1533232,2210,2056,"Refurbished Acer C720 Chromebook (11.6-Inch, 2GB) (Scratched and Dented)",129.99,Acer,"11.6\""",2 GB,,,,Chrome OS,Refurbished C720 Chromebook 2GB Scratched Dented,"Acer Chromebook CB3-131-C3SZ 11.6-Inch Laptop (Intel Celeron N2840 Dual-Core Processor,2 GB RAM,16 GB Solid State Drive,Chrome), White(Certified Refurbished)",149.99,Acer,11.6 in,2 GB,16 GB,Intel,,Chrome OS,Chromebook CB3 131 C3SZ Intel Celeron N2840 Dual GB GB Drive White Refurbished,0
789075,467,1105,"Manufacturer Refurbished - HP Stream 11-Y010NR 11.6"" Laptop Intel Celeron N3060 1.6GHz 4GB 32GB Windows 10",154.99,HP,,,,,,,Manufacturer Refurbished Stream Y010NR Intel Celeron N3060,"HP Stream Laptop PC 14-ax020nr (Intel Celeron N3060, 4 GB RAM, 32 GB eMMC) with Office 365 Personal for one year",,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream ax020nr Intel Celeron N3060 GB GB,0
1548861,2247,1895,Refurbished Acer Aspire 15.6 Notebook with 4th Generation Intel Core i3-4005U Processor - Grey (Acer E5-57 ),298.99,Acer,,,,,,,Refurbished Aspire Notebook 4th Intel i3 4005U Grey E5 57,"Acer Aspire E 15 E5-575-33BM 15.6-Inch FHD Notebook (Intel Core i3-7100U 7th Generation , 4GB DDR4, 1TB 5400RPM HD, Intel HD Graphics 620, Windows 10 Home), Obsidian Black",349.99,Acer,15.6 in,4 GB,1 TB,Intel,2.4 GHz,Windows 10,Aspire E E5 575 33BM Notebook Intel i3 7100U 7th Intel 620 Obsidian Black,0
253796,149,3092,"HP Flagship High Performance 15.6"" HD Touchscreen Laptop PC, Premium Flagship Intel Quad-Core Pentium N3710 Processor, 4GB RAM, 500GB HDD, SuperMulti DVD Burner, Webcam, HDMI, Wi-Fi, USB 3.0, Windows",389.0,HP,,4.00 GB,500.00 GB,Intel Pentium,1.60 GHz,Windows 10,Flagship Touchscreen Premium Flagship Intel Quad Pentium N3710 SuperMulti Wi Fi,"HP 15.6-Inch HD Touchscreen Laptop (Intel Quad Core Pentium N3710 1.6GHz, 4GB DDR3L-1600 Memory, 500 GB HDD, DVD Burner, HDMI, HD Webcam, Win 10)",314.86,HP,15.6 in,4 GB,500 GB,AMD,2.5 GHz,Windows 10,Touchscreen Intel Quad Pentium N3710 DDR3L 1600 500 GB Win,0
2018,1,598,"HP Stream 14-ax030wm 14” Smoke Gray, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron Processor N3060, 4GB Memory, 32GB Storage",219.0,HP,14 in,4 GB,32 GB,Intel Celeron Processor N3060,1.6 Hz,Windows 10,Stream ax030wm 14” Smoke Gray Intel Celeron N3060,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,0
789927,467,2667,"Manufacturer Refurbished - HP Stream 11-Y010NR 11.6"" Laptop Intel Celeron N3060 1.6GHz 4GB 32GB Windows 10",154.99,HP,,,,,,,Manufacturer Refurbished Stream Y010NR Intel Celeron N3060,"HP Stream Laptop PC 14-ax020nr (Intel Celeron N3060, 4 GB RAM, 32 GB eMMC) with Office 365 Personal for one year",,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream ax020nr Intel Celeron N3060 GB GB,0
1548756,2247,1124,Refurbished Acer Aspire 15.6 Notebook with 4th Generation Intel Core i3-4005U Processor - Grey (Acer E5-57 ),298.99,Acer,,,,,,,Refurbished Aspire Notebook 4th Intel i3 4005U Grey E5 57,"Acer Aspire E 15 E5-575-33BM 15.6-Inch FHD Notebook (Intel Core i3-7100U 7th Generation , 4GB DDR4, 1TB 5400RPM HD, Intel HD Graphics 620, Windows 10 Home), Obsidian Black",349.99,Acer,15.6 in,4 GB,1 TB,Intel,2.4 GHz,Windows 10,Aspire E E5 575 33BM Notebook Intel i3 7100U 7th Intel 620 Obsidian Black,0
