ID,Name,Price,Brand,Screen Size,RAM,Hard Drive Capacity,Processor Type,Processor Speed,Operating System,Battery Life,Clean Name
0,"HP Flyer Red 15.6"" 15-f272wm Laptop PC with Intel Pentium N3540 Processor, 4GB Memory, 500GB Hard Drive and Windows 10 Home",299.0,HP,15.6 in,4 GB,500  GB,Intel Pentium,"2.16 GHz, with a Max Turbo Speed of 2.66 GHz",Windows 10,4.5 hours,Flyer Red f272wm Intel Pentium N3540 Drive
1,"HP Stream 14-ax030wm 14” Smoke Gray, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron Processor N3060, 4GB Memory, 32GB Storage",219.0,HP,14 in,4 GB,32 GB,Intel Celeron Processor N3060,1.6 Hz,Windows 10,10.25 h,Stream ax030wm 14” Smoke Gray Intel Celeron N3060
2,"HP Stream 11.6"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",199.0,HP,11.6 in,4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,10 h,Stream Intel Celeron N3060
3,"HP Stream 14"" Jet Black Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",218.98,HP,14 in,,,Intel Celeron,,Microsoft Windows,,Stream Jet Black Intel Celeron N3060
4,"HP Black Licorice 15.6"" 15-F387WM Laptop PC with AMD A8-7410 Processor, 4GB Memory, touch screen, 500GB Hard Drive and Windows 10 Home",329.0,HP,15.6 in,4 GB,500  GB,AMD A-Series,"2.20 GHz, with a Max Turbo Speed of 2.50 GHz",Windows 10,,Black Licorice F387WM AMD A8 7410 touch Drive
5,"HP Silver Iridium Ci5 15-cc050wm 15.6"" Laptop, Touchscreen, Windows 10 Home, Intel Core i5-7200U Processor, 12GB Memory, 1TB Hard Drive",569.0,HP,15.6 in,12 GB,1 GB,7th Generation Intel Core i5-7200U Processor,2500 Hz,Windows 10,9.00 h,Silver Iridium Ci5 cc050wm Touchscreen Intel i5 7200U 12GB Drive
6,"HP 15-bs020WM, 15.6"" Touch Laptop, Windows 10, Intel Pentium N3710 Quad Core Processor, 4GB Memory, 500GB Hard Drive, DVD",322.24,HP,15.6 in,4 GB,500 GB,Intel Pentium Processor N3710,1.6 GHz,Windows 10,7 h,bs020WM Touch Intel Pentium N3710 Quad Drive
7,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",45.0,HP,14.0 in,4 GB,32 Gigabytes,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,10 hours,Stream Intel Celeron N3060
8,"HP 15-bw032WM 15.6"" Laptop Bundle, Windows 10, AMD A12-9720 Quad Core Processor, 8GB Memory, 1TB HDD, Wireless Mouse and Backpack, Smoke Gray",391.76,HP,15.6 in,8 GB,1 KB,,,"Microsoft Windows, @generated",,bw032WM Bundle AMD A12 9720 Quad Smoke Gray
9,"HP Jaguar 15-bs070wm, 15.6"" Natural Silver Touch Laptop, Windows 10, Intel Core i5-7200U Processor, 8GB Memory, 1TB Hard Drive",489.0,HP,15.6,8 GB,1 KB,Intel Core i5,,Microsoft Windows,,Jaguar bs070wm Natural Silver Touch Intel i5 7200U Drive
10,"Refurbished HP Stream Laptop 14-ax030wm N3060 CPU, 4GB RAM, 32GB HD",149.0,HP,,,32,,,,,Refurbished Stream ax030wm N3060 CPU
