_id,ltable_ID,rtable_ID,predicted
1699,1,10,1
1711,1,32,1
1723,1,54,1
1735,1,76,1
1747,1,98,1
1759,1,120,1
1771,1,142,1
1783,1,164,1
1795,1,186,1
1807,1,208,1
1819,1,230,1
1831,1,252,1
1843,1,274,1
1855,1,296,1
1867,1,318,1
1879,1,340,1
1891,1,362,1
1903,1,384,1
1915,1,406,1
1927,1,428,1
1939,1,450,1
1951,1,472,1
1963,1,494,1
1975,1,516,1
1987,1,538,1
1999,1,560,1
2011,1,582,1
2023,1,604,1
2035,1,626,1
2047,1,648,1
2059,1,670,1
2071,1,692,1
2083,1,714,1
2095,1,736,1
2107,1,758,1
2119,1,780,1
2131,1,802,1
2143,1,824,1
2155,1,846,1
2167,1,868,1
2179,1,890,1
2191,1,912,1
2203,1,934,1
2215,1,956,1
2227,1,978,1
2239,1,1000,1
2251,1,1022,1
2263,1,1044,1
2275,1,1066,1
2287,1,1088,1
2299,1,1110,1
2311,1,1132,1
2323,1,1154,1
2335,1,1176,1
2347,1,1198,1
2359,1,1220,1
2371,1,1242,1
2383,1,1264,1
2395,1,1286,1
2407,1,1308,1
2419,1,1330,1
2431,1,1352,1
2443,1,1374,1
2455,1,1396,1
2467,1,1418,1
2479,1,1440,1
2491,1,1462,1
2503,1,1484,1
2515,1,1506,1
2527,1,1528,1
2539,1,1550,1
2551,1,1572,1
2563,1,1594,1
2575,1,1616,1
2587,1,1638,1
2599,1,1660,1
2611,1,1682,1
2623,1,1704,1
2635,1,1726,1
2646,1,1747,1
2658,1,1769,1
2670,1,1791,1
2682,1,1813,1
2694,1,1835,1
2706,1,1857,1
2718,1,1879,1
2730,1,1901,1
2742,1,1923,1
2754,1,1945,1
2766,1,1967,1
2778,1,1989,1
2790,1,2011,1
2802,1,2033,1
2814,1,2055,1
2826,1,2077,1
2838,1,2099,1
2850,1,2121,1
2862,1,2143,1
2874,1,2165,1
2886,1,2187,1
2898,1,2209,1
2910,1,2231,1
2922,1,2253,1
2934,1,2275,1
2946,1,2297,1
2958,1,2319,1
2970,1,2341,1
2982,1,2363,1
2994,1,2385,1
3006,1,2407,1
3018,1,2429,1
3030,1,2451,1
3042,1,2473,1
3054,1,2495,1
3066,1,2517,1
3078,1,2539,1
3090,1,2561,1
3102,1,2583,1
3114,1,2605,1
3126,1,2627,1
3138,1,2649,1
3149,1,2670,1
3161,1,2692,1
3173,1,2714,1
3185,1,2736,1
3197,1,2758,1
3209,1,2780,1
3221,1,2802,1
3233,1,2824,1
3245,1,2846,1
3257,1,2868,1
3269,1,2890,1
3281,1,2912,1
3293,1,2934,1
3305,1,2956,1
3317,1,2978,1
3329,1,3000,1
3341,1,3022,1
3353,1,3044,1
3365,1,3066,1
3377,1,3088,1
5083,3,10,1
5095,3,32,1
5107,3,54,1
5119,3,76,1
5131,3,98,1
5143,3,120,1
5155,3,142,1
5167,3,164,1
5179,3,186,1
