ID,Name,Price,Brand,Screen Size,RAM,Hard Drive Capacity,Processor Type,Processor Speed,Operating System,Battery Life
0,"HP Flyer Red 15.6"" 15-f272wm Laptop PC with Intel Pentium N3540 Processor, 4GB Memory, 500GB Hard Drive and Windows 10 Home",299,HP,15.6 in,4 GB,500  GB,Intel Pentium,2.16 GHz,Windows 10,4.5 hours
2,"HP Stream 11.6"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",199,HP,11.6 in,4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,10 h
4,"HP Black Licorice 15.6"" 15-F387WM Laptop PC with AMD A8-7410 Processor, 4GB Memory, touch screen, 500GB Hard Drive and Windows 10 Home",329,HP,15.6 in,4 GB,500  GB,AMD A-Series,2.20 GHz,Windows 10,
5,"HP Silver Iridium Ci5 15-cc050wm 15.6"" Laptop, Touchscreen, Windows 10 Home, Intel Core i5-7200U Processor, 12GB Memory, 1TB Hard Drive",569,HP,15.6 in,12 GB,1 GB,7th Generation Intel Core i5-7200U Processor,2.500 GHz,Windows 10,9.00 h
8,"HP 15-bw032WM 15.6"" Laptop Bundle, Windows 10, AMD A12-9720 Quad Core Processor, 8GB Memory, 1TB HDD, Wireless Mouse and Backpack, Smoke Gray",391.76,HP,15.6 in,8 GB,1 KB,,,"Microsoft Windows, @generated",
9,"HP Jaguar 15-bs070wm, 15.6"" Natural Silver Touch Laptop, Windows 10, Intel Core i5-7200U Processor, 8GB Memory, 1TB Hard Drive",489,HP,15.6,8 GB,1 KB,Intel Core i5,,Microsoft Windows,
11,"HP Silver Iridium 15.6"" Laptop, Touchscreen, Intel Core i7-7500u, Intel HD Graphic 620 Graphic Card, 12GB Memory, 1TB HD, Windows 10 Home, 15-cc060wm",699,HP,15.6 in,12 GB,1 GB,7th Generation Intel Core i7-7500U Processor,2.700 GHz,Windows 10,9 h
12,"HP Silver Iridium A12 15-cd040wm 15.6” Laptop, Touchscreen, Windows 10 Home, AMD Quad-Core A12-9720P, 12GB Memory, 1TB Hard Drive",449,HP,15.6 in,12 GB,1 GB,AMD Quad-Core A12-9720P,2.700 GHz,Windows 10,7 h
13,"HP Jaguar 15-bs080wm, 15.6"" Natural Silver Touch Laptop, Windows 10, Intel Core i7-7500U Processor, 8GB Memory, 1TB Hard Drive",599,HP,15.6,8 GB,1 KB,Intel Core i7,,Microsoft Windows,
14,"HP Omen 15-ax250wm, 15.6"" Full-HD IPS Display, Core i7-7700HQ QC Processor, NVIDIA GTX 1050Ti 4GB Graphics Card, 12GB Memory, 1TB Hard Drive",898.99,HP,15.6 in,12 GB,1 TB,7th Generation Intel Core i7-7700HQ processor,2.8 GHz,Microsoft Windows,
15,"HP Black 15.6"" 15-f233wm Laptop PC with Intel Celeron N3050 Processor, 4GB Memory, 500GB Hard Drive and Windows 10 Home",279,HP,15.6 in,4 GB,500  GB,Intel Celeron,1.60 GHz,Windows 10,4.5 hours
